purpose,n,avg_pd,avg_ead
education,50,0.49643347144280286,3180.4
other,12,0.46314348270336775,8209.333333333334
repairs,22,0.3724262395335782,2728.090909090909
business,97,0.3453074605037854,4158.041237113402
car_new,234,0.34211026120853544,3063.025641025641
furniture_equipment,181,0.32355210559371295,3066.988950276243
domestic_appliances,12,0.2932262445055165,1498.0
radio_tv,280,0.22802372174150914,2487.6535714285715
car_used,103,0.18817033263134622,5370.223300970873
retraining,9,0.18728868795697165,1205.888888888889
